Region,AvgTemp
Africa,74.40260231125495
Asia,68.1097225987458
Europe,51.94717142841552
Australia/South Pacific,62.30369323842191
North America,56.15019771858279
Middle East,73.84068255374054
South/Central America & Carribean,72.20202379397276
